chapter number, title, wordcount, timestamp
164,"[12.7 spoilers] Knots & Depressions",5,2021-07-15T00:03:51-04:00
165,"False Moves – 12.a",15847,2021-07-17T00:03:43-04:00
166,"False Moves – 12.8",11076,2021-07-20T00:03:12-04:00
167,"False Moves – 12.9",14062,2021-07-24T00:03:14-04:00
168,"False Moves – 12.10",9640,2021-07-27T00:03:14-04:00
169,"False Moves – 12.z",13881,2021-07-31T00:03:10-04:00
170,"Summer Break – 13.1",11079,2021-08-03T00:03:17-04:00
171,"Summer Break – 13.2",12727,2021-08-07T00:03:46-04:00
172,"Summer Break – 13.3",10785,2021-08-10T00:03:05-04:00
173,"Summer Break – 13.4",12122,2021-08-14T00:03:59-04:00
174,"Summer Break – 13.5",11298,2021-08-17T00:03:30-04:00
175,"Summer Break – 13.6",15136,2021-08-21T00:03:04-04:00
176,"Summer Break – 13.7",11067,2021-08-24T00:03:00-04:00
177,"Summer Break – 13.8",12476,2021-08-28T00:03:17-04:00
178,"Summer Break – 13.9",14629,2021-08-31T00:03:38-04:00
179,"Break 1",13963,2021-09-02T00:03:39-04:00
180,"Summer Break – 13.10",13448,2021-09-04T00:03:31-04:00
181,"Break 2",15285,2021-09-07T00:03:55-04:00
182,"Summer Break – 13.11",12575,2021-09-11T00:03:43-04:00
183,"Break 3",10756,2021-09-14T00:03:49-04:00
184,"Summer Break – 13.12",9175,2021-09-18T00:03:36-04:00
185,"Break 4",13422,2021-09-21T00:03:08-04:00
186,"Summer Break – 13.13",15682,2021-09-26T00:03:26-04:00
187,"Break 5",14953,2021-09-28T00:03:17-04:00
188,"Summer Break",11456,2021-10-02T00:03:38-04:00
189,"Fall Out – 14.1",11957,2021-10-05T00:03:41-04:00
190,"Fall Out – 14.2",10474,2021-10-09T00:03:30-04:00
191,"Fall Out – 14.3",15653,2021-10-12T00:03:20-04:00
192,"Fall Out – 14.4",12904,2021-10-17T06:02:26-04:00
193,"Fall Out – 14.5",12920,2021-10-19T00:03:11-04:00
194,"Fall Out – 14.6",13408,2021-10-24T00:03:42-04:00
195,"Fall Out – 14.z",16309,2021-10-26T00:03:52-04:00
196,"Playing a Part – 15.1",15124,2021-10-30T00:03:26-04:00
197,"Playing a Part – 15.2",14486,2021-11-02T00:03:09-04:00
198,"[15.2 Spoilers] Keeping Tabs, Kennet",5,2021-11-05T00:03:36-04:00
199,"Playing a Part – 15.3",13812,2021-11-06T00:03:12-04:00
200,"Playing a Part – 15.4",14307,2021-11-09T00:03:04-05:00
201,"Playing a Part – 15.5",14143,2021-11-13T00:03:06-05:00
202,"Playing a Part – 15.6",12849,2021-11-16T00:03:36-05:00
203,"[15.6 Spoilers] Keeping Tabs, Thunder Bay",5,2021-11-18T00:03:56-05:00
204,"Playing a Part – 15.7",11699,2021-11-20T00:03:12-05:00
205,"Playing a Part – 15.8",15175,2021-11-23T00:03:59-05:00
206,"Playing a Part – 15.9",11122,2021-11-27T00:03:29-05:00
207,"Playing a Part – 15.10",13221,2021-11-30T00:03:27-05:00
208,"Playing a Part – 15.11",14989,2021-12-04T00:03:06-05:00
209,"Playing a Part – 15.z",12102,2021-12-08T09:14:05-05:00
210,"Left in the Dust – 16.1",12575,2021-12-11T00:03:18-05:00
211,"Left in the Dust – 16.2",12641,2021-12-14T00:03:31-05:00
212,"Left in the Dust – 16.3",14469,2021-12-18T00:03:47-05:00
213,"Left in the Dust – 16.4",10532,2021-12-21T00:03:48-05:00
214,"[Spoilers 16.4] 100 Years Lost, Excerpts",15158,2021-12-25T00:03:17-05:00
215,"Left in the Dust – 16.5",10340,2021-12-28T00:03:38-05:00
216,"Left in the Dust – 16.6",11160,2022-01-01T00:03:03-05:00
217,"Left in the Dust – 16.7",10928,2022-01-04T00:03:03-05:00
218,"Left in the Dust – 16.8",12934,2022-01-08T00:03:01-05:00
219,"Left in the Dust – 16.9",11221,2022-01-11T00:03:48-05:00
220,"Left in the Dust – 16.10",13182,2022-01-15T00:03:33-05:00
221,"Left in the Dust – 16.y",15688,2022-01-18T00:03:05-05:00
222,"Left in the Dust – 16.z",10338,2022-01-22T00:03:15-05:00
223,"Gone and Done It – 17.1",10475,2022-01-25T00:03:31-05:00
224,"Gone and Done It – 17.2",10075,2022-01-29T00:03:08-05:00
225,"Gone and Done It – 17.3",11245,2022-02-01T00:03:08-05:00
226,"Gone and Done It – 17.4",10013,2022-02-05T00:03:39-05:00
227,"Gone and Done It – 17.5",10022,2022-02-08T00:03:07-05:00
228,"Gone and Done It – 17.6",11043,2022-02-12T00:03:59-05:00
229,"Gone and Done It – 17.7",10832,2022-02-15T00:03:47-05:00
230,"Gone and Done It – 17.a",13431,2022-02-19T00:03:24-05:00
231,"Gone and Done It – 17.b",15460,2022-02-22T00:03:30-05:00
232,"Gone and Done It – 17.8",13948,2022-02-26T00:03:23-05:00
233,"Gone and Done It – 17.9",12513,2022-03-01T00:03:08-05:00
234,"Gone and Done It – 17.10",17229,2022-03-06T19:01:27-05:00
235,"Gone and Done It – 17.11",13396,2022-03-08T00:03:37-05:00
236,"Gone and Done It – 17.12",11477,2022-03-13T20:08:09-04:00
237,"Gone and Done It – 17.13",11826,2022-03-15T00:03:41-04:00
