chapter number, title, wordcount, timestamp
257,"Infrared – 19.10",5679,2020-02-15T00:02:22-04:00
258,"Infrared – 19.g",6642,2020-02-18T00:02:58-04:00
259,"Infrared – 19.z",6690,2020-02-23T00:57:04-04:00
260,"Last – 20.1",5897,2020-02-25T00:02:16-04:00
261,"Last – 20.2",5416,2020-02-29T00:02:23-04:00
262,"Last – 20.3",5859,2020-03-03T00:02:31-04:00
263,"Last – 20.4",5263,2020-03-07T00:02:26-04:00
264,"Last – 20.5",5159,2020-03-10T00:02:23-04:00
265,"Last – 20.6",5508,2020-03-15T00:03:29-04:00
266,"Last – 20.7",6477,2020-03-17T00:02:19-04:00
267,"Last – 20.8",6191,2020-03-21T00:02:23-04:00
268,"Last – 20.9",5288,2020-03-24T00:02:25-04:00
269,"Last – 20.a",4969,2020-03-28T00:02:46-04:00
270,"Last – 20.10",6244,2020-03-31T00:02:01-04:00
271,"Last – 20.b",6640,2020-04-04T00:02:56-04:00
272,"Last – 20.11",5311,2020-04-07T00:02:35-04:00
273,"Last – 20.e1",5734,2020-04-11T00:02:35-04:00
274,"Last – 20.e2",6028,2020-04-14T00:02:40-04:00
275,"Last – 20.e3",6526,2020-04-18T00:02:24-04:00
276,"Last – 20.e4",5925,2020-04-21T00:02:55-04:00
277,"Last – 20.e5",3730,2020-04-25T00:02:05-04:00
278,"Last – 20.e6",7545,2020-04-28T00:02:18-04:00
279,"Last – 20.end",7378,2020-05-02T00:02:34-04:00
