chapter number, title, wordcount, timestamp
215,"Bitter Pill – 15.4",4521,2016-11-17T00:01:26-04:00
216,"Bitter Pill – 15.5",4749,2016-11-19T00:01:10-04:00
217,"Bitter Pill – 15.6",5203,2016-11-22T00:01:49-04:00
218,"Bitter Pill – 15.7",4264,2016-11-24T00:01:49-04:00
219,"Bitter Pill – 15.8",5098,2016-11-26T00:01:25-04:00
220,"Bitter Pill – 15.9",5015,2016-11-29T00:01:39-04:00
221,"Bitter Pill – 15.10",4876,2016-12-03T00:01:36-04:00
222,"Bitter Pill – 15.11",4428,2016-12-06T00:01:16-04:00
223,"Bitter Pill – 15.12",6002,2016-12-10T00:01:31-04:00
224,"Bitter Pill – 15.13",4959,2016-12-13T00:01:31-04:00
225,"Bitter Pill – 15.14",6208,2016-12-15T00:01:57-04:00
226,"Bitter Pill – 15.15",4727,2016-12-17T00:01:56-04:00
227,"Bitter Pill – 15.16",4436,2016-12-20T00:01:43-04:00
228,"Lamb (Arc 15)",5559,2016-12-24T00:01:07-04:00
229,"Head over Heels – 16.1",4121,2016-12-27T00:01:55-04:00
230,"Head over Heels – 16.2",4067,2016-12-29T00:01:59-04:00
231,"Head over Heels – 16.3",4313,2016-12-31T00:01:00-04:00
232,"Head over Heels – 16.4",5412,2017-01-03T00:01:05-04:00
233,"Head over Heels – 16.5",6086,2017-01-07T00:01:00-04:00
234,"Head over Heels – 16.6",6272,2017-01-10T00:01:42-04:00
235,"Head over Heels – 16.7",5139,2017-01-14T00:01:12-04:00
236,"Head over Heels – 16.8",5584,2017-01-17T00:01:47-04:00
237,"Head over Heels – 16.9",5926,2017-01-21T00:01:52-04:00
238,"Head over Heels – 16.10",4853,2017-01-24T00:01:57-04:00
239,"Head over Heels – 16.11",4472,2017-01-26T00:01:54-04:00
240,"Head over Heels – 16.12",6221,2017-01-28T00:01:06-04:00
241,"Head over Heels – 16.13",5835,2017-01-31T00:01:20-04:00
242,"Lamb (Arc 16)",5405,2017-02-04T00:01:08-04:00
243,"Gut Feeling – 17.1",4050,2017-02-07T00:01:28-04:00
